00 ,销售,否
2023-06-24,10:29:52.28,102900011022764,0.293 ,12.00 ,销售,否
2023-06-24,10:29:56.826,102900011000328,0.231 ,10.00 ,销售,否
2023-06-24,10:30:17.686,102900005116257,0.722 ,6.00 ,销售,否
2023-06-24,10:30:20.53,102900011008164,0.581 ,5.20 ,销售,否
2023-06-24,10:30:44.826,102900011035740,1.000 ,5.80 ,销售,否
2023-06-24,10:30:45.86,102900011030097,1.000 ,4.50 ,销售,否
2023-06-24,10:31:33.936,106949711300259,1.000 ,2.00 ,销售,否
2023-06-24,10:31:40.373,102900005116899,0.451 ,16.00 ,销售,否
2023-06-24,10:31:47.186,102900011001691,0.330 ,14.00 ,销售,否
2023-06-24,10:32:04.186,102900011022764,0.443 ,12.00 ,销售,否
2023-06-24,10:32:12.164,102900005115786,0.455 ,4.00 ,销售,否
2023-06-24,10:32:12.375,102900011023464,0.795 ,5.20 ,销售,否
2023-06-24,10:32:12.796,102900011008164,0.678 ,5.20 ,销售,否
2023-06-24,10:32:55.717,102900011000328,0.271 ,10.00 ,销售,否
2023-06-24,10:33:07.236,102900011030059,1.000 ,4.50 ,销售,否
2023-06-24,10:33:07.42,102900005116257,0.453 ,6.00 ,销售,否
2023-06-24,10:33:11.061,102900005115786,0.379 ,4.00 ,销售,否
2023-06-24,10:33:39.597,102900005119975,0.285 ,6.00 ,销售,否
2023-06-24,10:33:49.912,102900005115946,0.352 ,6.00 ,销售,否
2023-06-24,10:33:52.951,102900011030059,1.000 ,4.50 ,销售,否
2023-06-24,10:34:29.936,106949711300259,1.000 ,2.00 ,销售,否
2023-06-24,10:35:08.983,102900005115786,0.404 ,4.00 ,销售,否
2023-06-24,10:35:24.284,102900011032022,1.000 ,2.80 ,销售,否
2023-06-24,10:35:58.451,102900005115786,0.328 ,4.00 ,销售,否
2023-06-24,10:36:27.468,102900011016701,0.252 ,5.20 ,销售,否
2023-06-24,10:40:15.48,102900011030097,1.000 ,4.50 ,销售,否
2023-06-24,10:40:16.514,102900011032251,1.000 ,3.90 ,销售,否
2023-06-24,10:40:16.553,102900011032848,1.000 ,4.80 ,销售,否
2023-06-24,10:41:58.293,102900005115786,0.379 ,4.00 ,销售,否
2023-06-24,10:41:58.516,102900011023464,0.213 ,5.20 ,销售,否
2023-06-24,10:42:43.487,102900005115762,0.455 ,4.00 ,销售,否
2023-06-24,10:46:54.661,102900005118817,0.365 ,14.00 ,销售,否
2023-06-24,10:46:54.882,102900005116714,0.387 ,14.00 ,销售,否
2023-06-24,10:46:55.097,102900005118824,0.520 ,16.00 ,销售,否
